Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011,1012,1013
121,"team1060 中山市中山纪念中学",6,17:43:45,,"03:25:43 (-3)",,,,02:14:29,,"04:32:37 (-1)",,"02:53:56 (-2)","00:44:30 (-2)",,01:12:30
122,"team1054 中山市中山纪念中学",6,18:09:44,,"01:48:00 (-3)",,,,"01:31:47 (-3)",,02:06:04,"04:13:50 (-4)",,00:18:20,,04:51:43
123,"team647 南京信息工程大学",6,18:23:48,,"01:32:22 (-2)",,,,02:24:36,,"03:26:54 (-3)","04:22:18 (-8)",,00:39:23,,01:38:15
124,"team761 义乌中学",6,18:25:46,,"03:57:06 (-6)",,,"04:23:51 (-1)","01:15:13 (-2)",,04:43:44,,,00:33:08,,00:32:44
125,"team661 北方工业大学",6,18:40:52,,"04:37:17 (-16)",,04:31:21,,01:10:06,,"01:50:26 (-1)",,,00:22:44,,00:28:58
126,"team117 南京外国语学校",6,19:15:15,,"02:40:44 (-14)",,"03:55:27 (-1)",(-1),"01:26:39 (-3)",,02:42:30,,,"00:50:38 (-3)",,00:39:17
127,"team705 中南大学",6,19:50:06,,"03:29:19 (-2)",,,"04:47:45 (-14)","01:04:05 (-2)",,"03:01:39 (-2)",,,00:21:53,,00:25:25
128,"team446 西安电子科技大学",6,22:25:37,,"03:58:00 (-4)",,"04:43:52 (-3)",,"03:20:09 (-5)",,"04:51:31 (-1)",,,"00:29:41 (-1)",,00:22:24
129,"team385 华南师范大学附属中学",6,33:09:12,,"02:32:29 (-5)",,,"04:47:38 (-36)",00:51:47,,"04:53:04 (-14)",,(-2),"00:26:12 (-2)",,00:38:02
130,"team1058 中山市中山纪念中学",5,04:20:54,,"01:12:20 (-1)",,,(-4),00:41:02,,"00:57:44 (-1)",,,"00:09:25 (-1)",,00:20:23
131,"team842 南京大学",5,05:56:23,,"00:59:20 (-3)",,,,00:31:47,,02:02:43,,,"00:23:50 (-1)",,00:38:43
132,"team532 电子科技大学",5,06:24:32,,"03:42:42 (-1)",,,(-16),00:18:14,,01:19:56,,,00:13:25,,00:30:15
133,"team677 南京大学",5,06:31:59,(-2),01:32:01,,(-3),(-5),00:38:53,,03:37:32,,,00:12:49,,00:30:44
134,"team109 南京外国语学校",5,06:51:05,,"01:05:58 (-3)",,,(-12),00:24:15,,01:43:47,,,"00:24:37 (-5)",,00:32:28
135,"team313 北京邮电大学",5,07:21:46,,"02:36:48 (-2)",,,(-22),00:35:24,,02:19:20,,,00:17:11,(-2),00:53:03
136,"team481 华南理工大学",5,07:27:46,,"01:49:27 (-4)",,,(-10),"01:07:22 (-1)",,"01:43:23 (-1)",(-3),,"00:16:49 (-1)",,00:10:45
137,"team678 南京大学",5,07:36:25,,"02:36:00 (-2)",,,,01:31:56,,02:22:19,,,00:09:18,,00:16:52
138,"team874 复旦大学",5,07:36:49,,"02:32:57 (-5)",,,(-27),00:41:50,,01:26:11,,,"00:27:08 (-1)",,00:28:43
139,"team105 南京外国语学校",5,07:39:59,,"02:19:51 (-4)",(-1),,(-6),01:20:23,,"01:40:55 (-1)",,,00:11:27,,00:27:23
140,"team003 华东师范大学第二附属中学",5,08:00:16,,"01:53:26 (-2)",,(-7),(-5),01:07:59,,02:16:59,,,"00:46:26 (-2)",,00:35:26
141,"team166 北京林业大学",5,08:01:48,,"02:13:16 (-1)",,,(-10),01:03:25,,02:29:15,,,"00:34:44 (-3)",,00:21:08
142,"team1040 南京市第一中学",5,08:02:29,,"02:50:46 (-2)",,(-7),(-6),"00:57:32 (-1)",,"02:19:51 (-1)",,,00:18:49,,00:15:31
