Rank,Author,Solved,Penalty,1001,1002,1003,1004,1005,1006,1007,1008,1009,1010,1011
102,"team001 华东师范大学第二附属中学",7,18:09:49,"00:24:09 (-2)","03:59:16 (-4)",00:20:43,00:40:04,"02:02:49 (-1)",,"02:27:43 (-1)","04:55:05 (-2)",,,(-42)
103,"team877 复旦大学",7,18:18:05,"01:23:11 (-3)","04:04:57 (-2)","00:34:54 (-1)",00:40:33,02:15:50,,01:52:56,"04:45:44 (-2)",,,
104,"team212 浙江理工大学",7,18:20:51,"00:41:53 (-2)","04:02:19 (-3)","00:51:58 (-1)",00:58:32,"02:29:15 (-1)",,02:03:21,,,,04:53:33
105,"team961 浙江师范大学",7,18:30:25,"00:53:33 (-1)","03:49:39 (-9)",00:24:33,01:05:22,"02:10:05 (-2)",,01:27:13,04:40:00,,,
106,"team479 长沙市长郡中学",7,19:39:58,00:14:19,"03:45:45 (-11)",00:53:52,00:29:50,03:11:11,,"02:28:39 (-1)",(-5),(-1),,"03:36:22 (-3)"
107,"team962 浙江师范大学",7,20:03:18,00:40:57,04:43:08,"00:55:42 (-1)",01:09:10,"02:19:21 (-1)",,02:54:11,"04:40:49 (-6)",,,
108,"team265 北京理工大学",7,21:04:21,"01:06:57 (-3)",(-2),00:37:00,"00:54:25 (-1)","03:44:13 (-3)",,02:35:42,"04:47:44 (-2)",,,"03:18:20 (-3)"
109,"team002 华东师范大学第二附属中学",7,21:31:40,"01:00:48 (-2)",(-3),"01:05:38 (-3)","02:17:41 (-6)",01:35:57,(-15),01:18:47,"04:46:27 (-4)",,,04:26:22
110,"team1050 西北工业大学附属中学",7,22:03:50,"00:31:25 (-1)","03:51:59 (-3)","01:20:31 (-4)","01:12:13 (-4)","02:43:00 (-2)",,02:42:56,,,"04:41:46 (-1)",(-6)
111,"team105 南京外国语学校",7,22:48:52,"02:04:49 (-14)","03:30:07 (-2)","00:44:23 (-4)",00:18:46,01:21:05,,01:57:17,"04:32:25 (-5)",,,(-16)
112,"team387 华南师范大学附属中学",7,22:51:00,"04:55:14 (-2)",,01:03:12,01:22:02,02:43:18,,02:13:53,"04:31:35 (-1)",,,"04:21:46 (-2)"
113,"team863 香港中文大学（深圳）",6,08:04:55,00:29:15,03:12:47,"00:21:35 (-2)",00:40:37,01:31:26,,01:09:15,,,,(-1)
114,"team1006 杭州电子科技大学",6,08:20:59,"01:06:36 (-1)",(-7),00:19:26,00:15:05,"01:42:22 (-1)",,01:36:25,02:41:05,,,(-1)
115,"team1028 广东工业大学",6,08:24:44,00:19:30,02:16:37,"00:48:35 (-1)",00:45:45,"02:18:58 (-1)",,01:15:19,,,,
